bond_key,bond_name,issuer_code,issuer_name,start_date,end_date,outcome,proposed_date,approved_date,rejected_date,event_ids,titles,urls
002698,博实转债,002698,博实<em>股</em>份,2024-08-21,2024-08-21,approved,,2024-08-21,,1220923442,关于博实转债预计触发向下修正转股价格条款的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220923442.PDF
300556,丝路转债,300556,丝路视觉,2024-08-21,2024-08-21,rejected,,,2024-08-21,1220924143,关于不向下修正丝路转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220924143.PDF
603716,塞力转债,603716,塞力医疗,2024-08-21,2024-09-06,approved,2024-08-21,2024-09-06,,1220926184; 1221148438,关于董事会提议向下修正“塞力转债”转股价格的公告; 关于向下修正“塞力转债”转股价格暨转股停复牌的公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220926184.PDF; https://static.cninfo.com.cn/finalpage/2024-09-06/1221148438.PDF
603776,永安转债,603776,永安行,2024-08-21,2024-08-21,approved,,2024-08-21,,1220924192,永安行：关于“永安转债”预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220924192.PDF
603901,永02转债,603901,永创智能,2024-08-21,2024-09-12,approved,2024-08-21,2024-09-12,,1220925221; 1221204696,关于董事会提议向下修正“永02转债”转股价格的公告; 关于向下修正“永02转债”转股价格暨转股停复牌的公告,https://static.cninfo.com.cn/finalpage/2024-08-21/1220925221.PDF; https://static.cninfo.com.cn/finalpage/2024-09-12/1221204696.PDF
000401,冀东转债,000401,冀东水泥,2024-08-22,2024-08-22,rejected,,,2024-08-22,1220937439,关于不向下修正冀东转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220937439.PDF
001269,欧晶转债,001269,欧晶科技,2024-08-22,2024-10-14,approved,2024-08-22,2024-10-14,,1220938549; 1221368685,关于董事会提议向下修正“欧晶转债”转股价格的公告; 关于向下修正欧晶转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220938549.PDF; https://static.cninfo.com.cn/finalpage/2024-10-14/1221368685.PDF
300239,东宝转债,300239,东宝生物,2024-08-22,2024-08-22,rejected,,,2024-08-22,1220952352,包头东宝生物技术股份有限公司关于不向下修正东宝转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220952352.PDF
300737,科顺转债,300737,科顺<em>股</em>份,2024-08-22,2024-08-22,proposed_pending,2024-08-22,,,1220936245,关于董事会提议向下修正科顺转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220936245.PDF
603660,科达转债,603660,苏州科达,2024-08-22,2024-08-22,rejected,,,2024-08-22,1220937144,关于不向下修正“科达转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220937144.PDF
603713,密卫转债,603713,密尔克卫,2024-08-22,2024-08-22,rejected,,,2024-08-22,1220936704,密尔克卫智能供应链服务集团股份有限公司关于不向下修正“密卫转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-22/1220936704.PDF
001205,盛航转债,001205,盛航<em>股</em>份,2024-08-23,2024-09-10,approved,2024-08-23,2024-09-10,,1220949617; 1221178200,关于董事会提议向下修正盛航转债转股价格的公告; 关于向下修正盛航转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220949617.PDF; https://static.cninfo.com.cn/finalpage/2024-09-10/1221178200.PDF
002436,兴森转债,002436,兴森科技,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220951502,关于不向下修正兴森转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220951502.PDF
002540,,002540,亚太科技,2024-08-23,2024-08-23,approved,,2024-08-23,,1220948309,关于预计触发可转债转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220948309.PDF
002726,龙大转债,002726,龙大美食,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220950389,关于不向下修正龙大转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220950389.PDF
002877,,002877,智能自控,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220951459,关于不向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220951459.PDF
300062,中能转债,300062,中能电气,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220950957,关于不向下修正中能转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220950957.PDF
300429,强力转债,300429,强力新材,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220958310,关于不向下修正强力转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220958310.PDF
300501,海顺转债,300501,海顺新材,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220959253,关于不向下修正海顺转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220959253.PDF
603113,金能转债,603113,金能科技,2024-08-23,2024-08-23,rejected,,,2024-08-23,1220950535,金能科技股份有限公司关于不向下修正“金能转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-23/1220950535.PDF
002798,帝欧转债,002798,帝欧家居,2024-08-24,2024-08-24,rejected,,,2024-08-24,1220962288,关于不向下修正帝欧转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-24/1220962288.PDF
300938,信测转债,300938,信测标准,2024-08-24,2024-08-24,rejected,,,2024-08-24,1220958528,关于不向下修正信测转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-24/1220958528.PDF
603650,彤程转债,603650,彤程新材,2024-08-24,2024-08-24,rejected,,,2024-08-24,1220960129,彤程新材关于不向下修正“彤程转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-24/1220960129.PDF
603757,大元转债,603757,大元泵业,2024-08-24,2024-08-24,rejected,,,2024-08-24,1220959302,浙江大元泵业股份有限公司关于不向下修正“大元转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-24/1220959302.PDF
688179,阿拉转债,688179,阿拉丁,2024-08-24,2024-08-24,rejected,,,2024-08-24,1220958997,阿拉丁关于不向下修正“阿拉转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-24/1220958997.PDF
000723,美锦转债,000723,美锦能源,2024-08-27,2024-08-27,approved,,2024-08-27,,1220982142,关于美锦转债预计触发转股价格向下修正的提示性公告,https://static.cninfo.com.cn/finalpage/2024-08-27/1220982142.PDF
002833,弘亚转债,002833,弘亚数控,2024-08-27,2024-09-12,approved,2024-08-27,2024-09-12,,1220981895; 1221205140,关于董事会提议向下修正弘亚转债转股价格的公告; 关于向下修正“弘亚转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-27/1220981895.PDF; https://static.cninfo.com.cn/finalpage/2024-09-12/1221205140.PDF
300185,通裕转债,300185,通裕重工,2024-08-27,2024-08-27,rejected,,,2024-08-27,1221002632,关于不向下修正通裕转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-08-27/1221002632.PDF
