announcement_id,event_date,event_type,bond_name,issuer_code,issuer_name,title,url,search_keys
1219139996,2024-02-20,down_reset_trigger_notice,双良转债,600481,双良节能,双良节能系统股份有限公司关于“双良转债”预计满足转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219139996.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219140093,2024-02-20,down_reset_trigger_notice,宏川转债,002930,宏川智慧,关于“宏川转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140093.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219140104,2024-02-20,down_reset_proposed,,300863,卡倍亿,关于董事会提议向下修正可转换公司债券转股价格的公告（更新前）,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140104.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219140210,2024-02-20,down_reset_proposed,大叶转债,300879,大叶<em>股</em>份,关于董事会提议向下修正“大叶转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140210.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219140235,2024-02-20,down_reset_trigger_notice,力合转债,688589,力合微,关于“力合转债”预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140235.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219140411,2024-02-20,down_reset_trigger_notice,,002120,韵达<em>股</em>份,关于预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140411.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219140460,2024-02-20,down_reset_proposed,,002921,联诚精密,关于董事会提议向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140460.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219140505,2024-02-20,down_reset_proposed,海顺转债,300501,海顺新材,关于董事会提议向下修正海顺转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140505.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219142329,2024-02-20,down_reset_trigger_notice,,300040,九洲集团,关于九洲转2预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219142329.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
1219142401,2024-02-20,down_reset_rejected,亿田转债,300911,亿田智能,关于不向下修正亿田转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219142401.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219142855,2024-02-20,down_reset_rejected,百畅转债,300614,百川畅银,关于不向下修正百畅转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219142855.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219143357,2024-02-20,down_reset_rejected,飞凯转债,300398,飞凯材料,关于不向下修正“飞凯转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219143357.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219143595,2024-02-20,down_reset_rejected,,300739,明阳电路,关于不向下修正“明电转02”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219143595.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219143598,2024-02-20,down_reset_rejected,明电转债,300739,明阳电路,关于不向下修正“明电转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-20/1219143598.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219141938,2024-02-21,down_reset_rejected,盟升转债,688311,盟升电子,关于不向下修正“盟升转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-21/1219141938.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219142204,2024-02-21,down_reset_proposed,中贝转债,603220,中贝通信,关于董事会提议向下修正“中贝转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142204.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格
1219142280,2024-02-21,down_reset_rejected,豪能转债,603809,豪能<em>股</em>份,关于不向下修正“豪能转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142280.PDF,下修 转股价; 下修 转股价格; 不向下修正 转股价; 不向下修正 转股价格; 向下修正 转股价; 向下修正 转股价格
1219142360,2024-02-21,down_reset_trigger_notice,,001288,运机集团,关于预计触发转股价格向下修正条件的提示性公告,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142360.PDF,下修 转股价; 下修 转股价格; 向下修正 转股价; 向下修正 转股价格; 触发 转股价格 向下修正 条件
